geneid	LNCaP_1	LNCaP_2	LNCaP_3
100129827	1	1	0
100129836	0	0	0
100129842	397	388	442
100129845	1	0	0
100129858	15	14	21
100129860	0	0	0
100129917	171	201	226
100129924	9	14	15
100129931	3	6	9
100129935	0	0	0
100129940	0	0	0
100129961	45	47	51
100129973	5	5	5
10013	2024	2002	2301
100130015	16	27	11
100130017	0	0	0
100130035	0	0	0
100130075	0	0	0
100130083	0	0	0
100130086	0	0	0
100130093	336	358	396
100130097	1	0	0
100130148	1	0	1
100130155	0	0	0
100130196	0	0	0
100130197	0	0	0
100130207	0	0	1
100130231	0	0	0
100130238	9	19	19
100130249	0	0	0
100130264	0	0	0
100130274	0	0	1
100130275	19	19	29
100130285	15	12	15
100130298	0	0	0
100130301	2	0	1
100130302	0	0	0
100130311	55	69	76
100130316	0	0	0
100130331	0	0	0
100130342	0	0	0
100130348	0	0	0
100130357	30	29	32
100130361	0	0	0
100130370	11	11	7
100130373	4	4	2
100130386	3	0	1
100130417	49	29	47
100130418	88	95	118
100130449	3	6	2
100130451	3	2	6
100130452	0	0	0
100130458	0	0	0
100130459	0	0	0
100130460	2	4	1
100130466	8	10	10
100130476	2	6	5
100130480	0	0	0
100130497	0	0	0
100130502	0	0	0
100130519	0	0	0
100130520	0	1	0
100130522	96	92	114
100130539	0	0	0
100130548	3	2	3
100130557	103	114	131
100130581	19	18	25
100130587	5	1	4
100130613	0	0	0
100130673	1	0	1
100130691	1	0	2
100130693	28	22	26
100130698	0	0	0
100130700	0	0	0
100130705	92	84	87
100130717	14	11	28
100130733	10	22	11
100130742	3	1	4
100130744	226	216	286
100130771	5	0	1
100130776	44	46	40
100130801	0	0	0
100130827	0	0	0
100130849	0	0	0
100130855	246	272	299
100130872	331	310	353
100130876	0	0	0
100130880	0	0	0
100130887	32	20	38
100130889	7	6	9
100130890	295	240	257
100130894	0	1	1
100130899	960	928	984
100130933	0	0	0
100130934	2	8	9
100130935	40	44	49
100130938	0	0	0
100130950	27	12	33
100130954	0	0	0
100130958	1	3	2
100130964	0	0	0
100130967	10	13	16
100130987	54	53	70
100130988	0	0	0
100130992	8	4	11
100131017	1155	1113	1339
100131047	1	1	1
100131060	7	8	7
100131067	227	220	247
100131089	309	287	351
100131094	0	0	0
100131096	151	149	150
100131107	0	1	0
100131114	0	0	0
100131117	0	0	0
100131137	0	0	0
100131138	0	0	0
100131176	0	0	0
100131187	837	825	849
100131193	240	221	230
100131205	2	1	1
100131208	0	0	0
100131211	114	84	91
100131213	149	147	158
100131234	0	0	0
100131244	0	0	0
100131257	0	0	0
100131270	1	2	0
100131289	0	0	0
100131303	0	0	0
100131315	0	0	0
100131320	289	280	364
100131347	43	40	57
100131361	0	0	0
100131366	0	0	0
100131372	0	0	0
100131378	3	1	1
100131390	3	4	11
100131395	1	1	1
100131434	82	65	77
100131439	0	0	0
100131454	94	81	83
100131472	0	0	0
100131496	1	3	0
100131530	1	4	10
100131532	1	0	0
100131539	1	0	3
100131551	2	6	0
100131561	1	0	1
100131564	222	211	268
100131608	0	0	0
100131626	0	0	0
100131635	0	0	0
100131652	1	0	0
100131655	11	6	6
100131691	105	77	112
100131726	0	0	0
100131733	0	0	1
100131755	32	37	24
100131801	942	928	992
100131814	13	12	11
100131816	0	0	0
100131825	0	0	0
100131827	246	265	335
100131897	0	0	0
100131902	0	0	0
100131980	0	0	0
100131997	29	24	29
100131998	59	72	58
100132004	0	0	0
100132043	0	0	0
100132062	0	0	0
100132074	52	46	58
100132077	0	0	0
100132078	0	1	0
100132086	0	0	1
100132101	4	2	6
100132103	0	0	2
100132111	25	29	39
100132116	0	0	0
100132146	0	0	0
100132154	0	0	0
100132163	3	1	2
100132169	45	47	38
100132174	1	1	2
100132202	0	0	0
100132215	1	1	0
100132247	110	119	134
100132249	3	5	14
100132261	1	5	8
100132273	26	39	51
100132287	0	0	0
100132288	48	52	59
100132304	0	0	0
100132341	162	142	167
100132352	141	138	142
100132354	5	2	4
100132356	14	17	15
100132386	0	0	0
100132396	0	0	0
100132399	0	0	0
100132403	0	0	0
100132406	35	38	34
100132417	0	0	0
100132463	0	0	0
100132464	0	0	0
100132476	0	0	0
100132526	1	3	2
100132529	5	4	8
100132565	0	0	0
100132594	0	0	0
100132596	0	0	0
100132618	1	0	1
100132677	13	16	13
100132707	195	153	199
100132708	10	15	13
100132724	5	5	4
100132731	24	26	17
100132735	0	0	0
100132741	0	0	0
100132774	32	40	37
100132781	0	0	2
100132813	6	9	17
100132815	1011	991	1060
100132831	0	0	0
100132832	15	8	16
100132874	2	0	0
100132891	0	0	0
100132911	0	0	0
100132916	0	0	0
100132923	63	63	51
100132929	0	0	0
100132948	0	0	1
100132963	0	0	0
100132979	0	0	0
100132987	1	3	2
100132994	0	0	0
100133036	0	0	0
100133050	7	9	9
100133053	0	0	0
100133077	1	0	0
100133091	34	45	44
100133093	0	0	0
100133121	9	4	9
100133123	0	0	0
100133144	9	18	21
100133161	5	6	8
100133172	15	9	11
100133182	1	1	7
100133205	16	26	18
100133220	2	3	1
100133234	0	0	1
100133251	0	0	0
100133267	0	0	0
100133286	12	13	22
100133301	0	0	0
100133308	0	0	0
100133311	1	5	5
100133315	29	32	38
100133331	93	91	109
100133445	0	1	1
100133461	0	0	0
100133545	0	0	0
100133612	27	17	29
100133669	3	11	5
100133746	0	0	0
100133920	0	0	0
100133941	920	914	1044
100133957	11	24	18
100133985	7	1	6
100133991	318	307	335
100134015	0	0	0
100134040	0	0	0
100134229	181	143	161
100134259	0	0	2
100134317	1	2	4
100134362	0	1	1
100134368	22	11	15
100134391	0	0	0
100134444	0	0	0
100134713	59	38	56
100134822	3	3	3
100134868	0	0	0
100134869	7	9	8
100134934	0	0	0
100134938	0	0	0
100137047	187	205	256
100137049	19	16	18
10014	976	858	986
100141515	0	0	0
100142659	17	14	29
100144595	0	0	0
100144596	0	0	0
100144597	0	0	0
100144602	0	1	1
100144603	40	40	49
100144604	8	9	10
100144748	152	164	223
100147744	20	19	19
100147773	63	90	67
10015	3853	3627	4159
100151643	0	0	0
100151683	4	0	0
100151684	4	0	0
100158262	1	0	1
10016	2515	2353	2630
100169751	0	0	0
100169752	0	0	0
100169753	0	0	0
100169754	0	0	0
100169755	0	0	0
100169756	0	0	0
100169757	0	0	0
100169758	0	0	0
100169759	0	0	0
100169760	0	0	1
100169761	0	0	0
100169762	0	0	0
100169763	0	0	0
100169764	0	0	0
100169765	0	0	0
100169766	0	0	0
100169767	0	0	0
100169768	0	0	0
100169851	0	0	0
100169890	0	1	1
100169951	0	0	0
100169952	0	0	0
100169953	0	0	0
100169954	0	0	0
100169955	0	0	0
100169956	0	0	0
100169957	0	0	0
100169958	0	0	0
100169959	0	0	0
100169989	0	1	0
10017	7	0	1
100170216	0	0	0
100170217	0	0	0
100170218	0	0	0
100170219	0	0	0
100170220	0	0	1
100170221	0	0	0
100170222	0	0	0
100170223	0	0	0
100170224	0	0	0
100170225	0	0	0
100170226	0	0	0
100170227	0	0	0
100170228	0	0	0
100170229	18	11	16
100170765	1	0	0
100170841	502	481	560
10018	1256	1190	1373
100187716	0	0	0
100188847	0	0	0
100188893	3118	2816	3301
100188917	0	0	0
100188947	0	1	0
100188949	3	0	0
100188953	0	0	0
100188954	1	3	0
100189589	0	1	0
10019	664	618	642
100190938	14	18	10
100190939	84	89	122
100190940	0	0	0
100190949	0	0	0
100190986	0	0	0
100191040	14	16	30
100191063	0	0	0
100192204	0	0	0
100192378	0	0	0
100192379	0	0	0
100192386	3	0	0
100192420	0	2	1
100192426	0	0	0
1002	0	0	0
10020	2	1	2
10021	1	4	2
100216001	0	0	0
100216479	29	20	35
100216545	239	224	276
100216546	243	245	320
10022	4	4	4
10023	223	207	238
100233156	279	291	341
100233209	0	0	0
10024	1004	1026	1189
100240728	0	0	0
100240734	0	0	1
100240735	2	2	1
10025	2148	1872	2343
10026	1162	1143	1366
100268168	30	28	30
100270679	0	0	0
100270680	9	8	9
100270746	75	83	92
100270804	54	57	48
100271702	99	116	100
100271715	1	0	1
100271722	61	75	56
100271832	0	0	0
100271835	0	0	0
100271836	25	37	33
100271846	0	0	0
100271849	0	1	0
100271873	0	1	2
100271874	2	1	1
100271927	2	0	7
100272147	126	111	138
100272216	12	14	18
100272217	246	253	273
100272228	5	26	23
100286844	117	115	95
100286906	0	0	0
100286938	4	0	1
100286979	0	0	1
100287010	0	0	0
100287013	3	5	6
100287015	158	150	173
100287028	0	0	0
100287029	0	6	2
100287036	0	2	2
100287042	135	136	180
100287063	0	0	1
100287072	0	0	0
100287082	0	0	0
100287083	0	0	0
100287098	51	60	72
100287102	0	0	1
100287114	0	0	0
100287128	0	0	0
100287144	0	0	0
100287166	14	5	4
100287171	266	275	312
100287175	6	2	12
100287177	0	2	1
100287178	0	0	0
100287205	0	0	0
100287216	1	1	1
100287225	1	1	2
100287226	2	0	0
100287227	21	18	17
100287238	0	0	0
100287243	0	0	0
100287284	1	2	0
100287290	7	6	9
100287294	0	0	0
100287314	33	19	34
100287327	0	0	0
100287361	1	0	0
100287362	0	0	0
100287364	0	0	0
100287366	0	0	0
100287387	0	0	0
100287399	0	0	0
100287404	0	0	0
100287413	0	1	1
100287441	0	0	0
100287463	0	0	0
100287467	0	0	0
100287477	0	0	0
100287478	0	0	0
100287482	412	389	474
100287497	59	60	65
100287513	0	0	0
100287559	9	6	6
100287569	0	0	0
100287592	0	0	0
100287596	0	1	0
100287610	1	1	7
100287616	191	189	196
100287632	0	1	0
100287639	0	0	0
100287651	0	0	0
100287704	0	0	0
100287718	0	0	0
100287722	0	0	0
100287728	1	1	1
100287765	121	91	134
100287792	0	0	1
100287794	0	0	1
100287808	151	154	164
100287814	0	0	0
100287823	0	0	0
100287834	0	0	0
100287846	2	4	8
100287852	0	0	0
100287877	0	0	0
100287879	0	0	0
100287896	321	335	398
100287898	6	4	6
100287902	56	56	64
100287922	1	0	0
100287932	1696	1540	1815
100287934	17	21	23
100287944	0	1	0
100287948	0	0	0
100287954	0	0	1
100287966	0	0	0
100288069	11	14	18
100288077	15	21	23
100288079	0	0	0
100288102	42	46	58
100288115	0	0	0
100288122	0	0	0
100288123	1	0	0
100288142	53	59	65
100288152	322	307	335
100288162	0	0	0
100288175	88	96	118
100288181	39	39	34
100288198	48	44	73
100288268	0	0	0
100288287	0	0	0
100288323	0	0	0
100288332	127	131	159
100288346	0	1	0
100288380	0	0	0
100288413	71	57	56
100288428	0	1	0
100288430	0	0	0
100288432	1	0	2
100288485	0	0	0
100288486	0	0	0
100288520	0	0	0
100288524	0	0	0
100288527	0	0	0
100288562	0	0	0
100288570	0	0	0
100288613	0	2	0
100288615	50	42	55
100288637	147	121	174
100288687	0	0	0
100288690	9	3	6
100288695	0	0	0
100288708	0	0	0
100288730	36	23	31
100288748	45	53	43
100288774	1	0	0
100288778	172	180	206
100288797	0	0	0
100288798	52	30	52
100288801	0	0	0
100288805	0	1	3
100288806	0	0	0
100288814	2	1	4
100288831	0	0	0
100288842	109	85	119
100288846	160	129	147
100288866	0	1	0
100288897	38	23	26
100288911	5	2	1
100288929	0	0	0
100288966	0	0	0
100288974	12	12	8
100289004	0	0	0
100289019	129	124	164
100289026	1	1	0
100289047	2	1	1
100289085	0	0	2
100289087	0	0	0
100289092	110	122	122
100289097	332	363	397
100289098	208	176	231
100289124	0	1	2
100289137	181	197	211
100289150	0	0	0
100289178	17	12	7
100289185	0	1	0
100289187	0	0	0
100289188	1	1	0
100289194	0	0	0
100289206	0	0	0
100289211	3	8	3
100289230	69	62	78
100289255	0	2	1
100289274	136	151	170
100289279	1	1	2
100289280	0	0	0
100289333	1	1	1
100289341	286	299	307
100289361	161	143	151
100289373	120	119	124
100289388	45	23	55
100289410	138	118	130
100289455	0	0	1
100289462	0	0	0
100289473	0	0	0
100289495	44	48	54
100289509	23	13	27
100289511	14	16	11
100289533	3	6	4
100289561	1	2	7
100289574	56	62	92
100289580	8	15	5
100289635	1019	931	1246
100289650	0	0	0
100289656	0	0	0
100289673	0	0	0
100289678	428	461	553
100292680	6	6	7
100292922	0	0	0
100293516	376	381	426
100293612	0	0	0
100293704	78	58	54
100294145	836	784	954
100294362	25	30	33
100294720	0	0	0
1003	0	0	0
100302111	0	0	0
100302112	1	0	1
100302113	0	0	0
100302114	0	0	0
100302115	0	0	0
100302116	0	0	0
100302117	0	0	0
100302118	0	0	0
100302119	0	0	0
100302121	0	0	1
100302122	0	0	0
100302123	0	0	0
100302124	0	0	0
100302125	1	6	1
100302126	0	0	0
100302127	0	0	0
100302128	1	2	1
100302129	0	0	0
100302130	0	0	0
100302131	0	0	0
100302132	0	0	0
100302133	0	0	0
100302134	0	0	0
100302135	0	0	0
100302136	0	0	0
100302137	21	4	20
100302138	0	0	0
100302139	0	0	0
100302140	0	0	0
100302141	0	0	0
100302142	0	0	0
100302144	0	0	0
100302145	0	0	0
100302146	0	0	0
100302147	0	0	0
100302148	0	0	0
100302149	1	2	2
100302150	0	0	0
100302152	0	0	1
100302153	0	0	0
100302155	0	0	0
100302156	0	0	0
100302157	0	0	0
100302158	0	0	0
100302159	0	0	0
100302160	0	0	0
100302161	0	0	0
100302163	0	0	0
100302164	0	0	0
100302165	0	0	0
100302166	0	0	0
100302167	2	0	0
100302168	1	0	0
100302169	0	0	0
100302170	1	4	2
100302171	0	0	0
100302172	0	0	0
100302174	0	0	0
100302175	0	0	0
100302177	0	0	0
100302178	0	0	0
100302179	0	0	0
100302181	0	0	0
100302182	0	0	0
100302183	0	0	0
100302184	0	0	0
100302185	13	9	6
100302186	0	0	0
100302187	0	0	0
100302188	0	0	0
100302190	0	0	0
100302191	0	0	0
100302192	0	0	0
100302193	0	0	0
100302195	0	0	0
100302197	0	0	0
100302201	0	0	0
100302202	0	0	0
100302203	0	0	0
100302204	0	0	0
100302205	0	0	0
100302208	0	0	0
100302209	0	0	0
100302210	0	0	0
100302211	0	0	0
100302212	0	0	0
100302213	0	0	0
100302214	0	0	0
100302217	0	0	0
100302218	2	4	2
100302219	0	0	0
100302220	0	0	0
100302222	0	0	0
100302223	0	0	0
100302224	0	0	0
100302225	0	0	0
100302226	0	0	0
100302227	0	0	0
100302228	0	0	0
100302229	0	0	0
100302232	0	0	0
100302233	0	0	0
100302234	0	0	0
100302235	0	0	0
100302236	0	0	0
100302237	0	0	0
100302238	0	0	0
100302239	0	0	0
100302240	23	15	34
100302242	0	0	0
100302243	0	0	0
100302246	0	0	0
100302250	0	0	0
100302251	0	0	0
100302254	10	3	13
100302255	0	0	0
100302256	0	0	0
100302257	0	0	0
100302258	0	0	1
100302259	0	0	0
100302260	0	0	0
100302261	0	0	0
100302263	1	0	0
100302265	0	0	0
100302267	0	0	0
100302268	0	0	0
100302270	0	0	0
100302273	19	32	24
100302274	0	0	0
100302275	0	1	0
100302276	0	0	0
100302277	0	0	0
100302278	0	0	0
100302279	0	0	0
100302280	0	0	0
100302281	2	0	0
100302282	0	0	0
100302283	0	0	0
100302284	0	0	0
100302285	1	0	2
100302286	0	0	0
100302287	0	0	0
100302288	0	0	0
100302289	0	0	0
100302290	0	0	0
100302292	3	0	1
100302401	46	39	33
100302640	7	19	19
100302650	5	6	4
100302652	0	0	0
100302691	4	6	2
100302692	42	46	49
100302736	0	0	0
100302738	0	0	0
100302739	6	4	3
100302740	0	0	0
100302741	0	0	0
100302742	1	0	3
100302743	0	5	6
100302746	0	0	0
100303453	0	0	0
100303491	0	0	0
100303728	137	126	149
100303749	0	0	0
100303755	35	31	44
100306951	552	492	531
100306975	1	1	1
100309464	0	0	0
100310812	0	0	0
100310846	5	9	3
100313769	1	1	1
100313770	0	0	0
100313771	0	0	0
100313772	0	0	0
100313773	0	0	0
100313774	0	0	0
100313777	0	0	0
100313778	0	0	0
100313779	0	0	0
100313780	0	0	0
100313781	0	0	0
100313806	0	0	0
100313822	0	0	0
100313824	0	0	0
100313829	0	0	0
100313830	0	0	0
100313835	0	0	0
100313837	0	0	0
100313838	0	0	0
100313839	0	0	0
100313840	0	0	0
100313841	0	0	0
100313842	0	0	0
100313843	0	0	0
100313884	0	0	0
100313886	0	0	1
100313887	0	0	0
100313892	0	0	0
100313895	0	0	0
100313896	0	0	0
100313914	0	0	0
100313921	0	0	1
100313923	0	0	0
100313938	0	0	0
100316868	0	2	4
100316904	45	51	58
100329109	119	83	95
100329135	1	0	0
100335030	59	47	52
100337591	3	1	1
100337616	0	0	0
100359394	0	0	0
10036	1527	1440	1617
100379132	0	0	0
100379141	0	0	0
100379174	0	0	0
100379220	8	12	19
100379224	136	123	144
100379249	0	0	0
100379250	0	0	0
100379251	20	17	22
100379345	1	2	4
100379571	67	71	75
100379661	0	0	1
10038	1167	1119	1226
100381270	617	675	827
10039	754	739	834
1004	0	0	0
10040	1699	1654	1949
100419868	0	1	0
10042	873	808	1003
100422212	0	0	0
100422556	5	3	5
100422737	0	0	0
100422821	0	0	0
100422823	0	0	0
100422824	0	0	0
100422825	0	0	0
100422826	0	0	0
100422827	0	0	0
100422828	0	0	0
100422829	0	0	0
100422831	0	0	0
100422832	6	3	4
100422833	0	0	0
100422834	0	0	0
100422835	0	0	0
100422836	0	0	0
100422837	0	0	0
100422839	0	0	0
100422840	0	0	0
100422841	1	0	0
100422842	0	0	0
100422843	0	0	0
100422844	2	0	1
100422845	0	0	0
100422846	0	0	1
100422847	0	0	0
100422848	0	0	0
100422849	0	0	0
100422850	0	0	0
100422851	0	0	0
100422853	0	0	0
100422854	0	0	0
100422855	0	0	0
100422856	0	0	0
100422857	0	0	0
100422859	0	0	0
100422860	16	14	18
100422861	0	0	0
100422862	0	0	0
100422863	0	0	0
100422864	1	0	0
100422865	0	0	0
100422866	0	0	0
100422867	0	0	0
100422868	0	0	0
100422869	0	0	0
100422870	0	0	0
100422871	0	0	0
100422872	0	0	0
100422873	1	0	0
100422874	0	0	0
100422875	0	0	1
100422876	0	0	0
100422877	0	0	0
100422878	0	0	0
100422879	0	0	0
100422880	0	0	0
100422881	0	0	0
100422882	0	0	0
100422883	0	0	0
100422884	0	0	0
100422885	0	0	0
100422886	0	0	0
100422887	0	0	0
100422888	0	0	0
100422889	0	0	0
100422890	0	0	0
100422891	0	0	0
100422892	0	0	0
100422893	0	0	0
100422894	0	0	0
100422895	0	0	0
100422896	0	0	0
100422897	0	0	0
100422898	0	0	0
100422899	0	0	0
100422900	0	0	1
100422901	0	0	0
100422902	0	0	0
100422903	0	0	0
100422904	0	0	0
100422905	0	0	0
100422906	0	0	0
100422907	0	0	0
100422908	0	0	0
100422909	0	0	0
100422910	0	0	0
100422911	0	0	0
100422912	0	0	0
100422913	0	0	0
100422914	0	0	0
100422915	2	2	1
100422916	0	0	0
100422917	0	0	0
100422918	0	0	0
100422919	0	0	0
100422920	0	0	0
100422922	0	0	0
100422923	0	0	0
100422924	0	0	0
100422925	0	0	0
100422926	0	0	0
100422927	0	0	0
100422928	3	0	2
100422929	0	0	0
100422930	0	0	0
100422931	0	0	0
100422932	0	0	0
100422933	0	0	0
100422934	1	0	0
100422935	0	0	0
100422936	2	10	5
100422937	0	0	0
100422938	0	0	0
100422939	0	0	0
100422940	0	0	0
100422941	0	0	0
100422942	0	0	0
100422943	8	4	3
100422944	0	0	0
100422945	0	0	0
100422946	0	0	0
100422947	0	1	1
100422948	0	0	0
100422949	5	2	3
100422950	0	0	0
100422951	0	0	0
100422952	0	0	0
100422953	1	0	0
100422954	0	0	0
100422955	0	0	0
100422956	0	0	0
100422957	0	0	0
100422959	0	0	0
100422960	0	0	0
100422961	7	3	3
100422962	0	0	0
100422963	0	0	0
100422964	0	0	0
100422965	5	4	1
100422966	0	0	0
100422967	0	0	0
100422968	0	0	0
100422969	0	0	0
100422970	0	0	0
100422971	1	0	0
100422973	0	0	0
100422974	0	0	2
100422975	0	0	0
100422976	0	0	0
100422977	0	0	0
100422978	18	16	24
100422979	5	6	4
100422980	0	0	0
100422981	0	0	0
100422982	0	0	0
100422983	0	0	0
100422984	0	0	0
100422985	0	0	0
100422986	0	0	0
100422987	1	0	1
100422988	0	0	0
100422989	0	0	0
100422990	0	0	0
100422991	0	0	0
100422992	0	0	0
100422993	0	0	0
100422994	1	0	0
100422995	0	0	1
100422996	0	0	0
100422997	0	0	0
100422998	0	0	0
100422999	0	0	0
100423000	0	0	0
100423001	0	0	0
100423002	0	0	0
100423003	0	0	0
100423004	0	0	0
100423005	0	0	0
100423006	0	0	0
100423008	0	0	0
100423009	0	0	0
100423010	0	0	0
100423011	2	0	0
100423012	0	0	0
100423013	0	0	0
100423014	0	0	0
100423015	0	0	0
100423016	0	0	0
100423017	0	0	0
100423018	0	0	0
100423019	0	0	0
100423020	6	5	2
100423021	0	0	0
100423023	0	0	0
100423025	0	0	0
100423026	0	0	0
100423027	0	0	0
100423028	0	0	0
100423029	0	0	0
100423030	0	0	0
100423031	0	0	0
100423032	0	0	0
100423033	0	0	0
100423034	0	0	0
100423035	0	0	0
100423036	0	0	0
100423037	5	13	5
100423039	0	0	0
100423040	0	0	0
100423041	0	0	0
100423042	0	0	0
100423043	0	0	0
10043	1107	1045	1155
100431172	0	0	0
10044	16	11	19
10045	9	4	6
10046	5	3	4
100462953	1	0	0
100462977	0	0	0
100462981	0	2	3
100462983	0	0	0
100463285	0	0	0
100463289	0	0	0
100463482	0	0	0
100463486	1	1	1
100463487	0	0	0
100463488	0	0	0
10047	0	0	0
10048	1592	1568	1789
10049	1001	907	1102
100498859	0	0	0
