GeneID	Du145 siControl	Du145 siCDCA2	PC4	LNCap	22RV1	Du145	PC3	Prostate
613126	2	1	3	3	5	7	2	4
401387	0	0	1	0	2	1	2	1
889	125	96	1184	605	183	798	759	306
100302218	0	0	2	1	0	0	0	0
54467	586	726	1716	1123	351	2311	2723	354
105375396	0	1	0	0	0	0	0	0
57798	199	323	707	758	915	1096	997	751
30816	1	0	5	3	4	10	8	1
5189	90	163	947	439	238	309	413	231
84060	50	87	302	196	288	281	301	182
257415	67	91	578	268	997	289	351	378
105375397	0	0	0	0	0	0	1	0
1021	301	677	420	112	68	962	2211	251
112268009	1	1	6	0	3	3	12	10
101927497	1	0	0	0	0	2	1	0
54809	98	202	3	279	6	445	993	26
219285	9	20	0	15	0	23	348	125
253012	1	0	16	0	6	2	2	13
55610	171	150	749	352	158	552	542	196
799	7	3	0	0	0	19	0	0
724023	0	0	0	0	0	0	0	0
574442	0	0	0	0	0	0	0	0
105375400	0	0	0	0	0	0	0	0
100616206	0	0	0	0	0	0	0	0
7980	160	373	33	3	11	387	3808	29
105375401	0	2	0	0	0	3	1	0
2792	0	0	0	0	0	0	0	0
105375402	0	0	1	0	0	0	0	0
2791	92	95	5	2	2	233	851	177
10282	208	151	525	360	176	477	679	240
105375403	0	0	2	0	0	2	3	0
107986820	22	49	9	2	18	53	36	14
112267858	0	0	0	0	0	1	1	0
107986821	0	0	0	0	0	0	0	0
101927525	0	1	0	0	0	1	3	1
1278	0	6	1	1	4	15	37	4263
105375404	2	0	16	5	5	15	8	4
64921	137	37	834	471	79	524	434	400
8910	485	629	591	3	276	1479	858	270
23089	619	975	1574	34	2172	2555	4771	204
55607	93	74	719	233	512	760	440	162
105375405	0	0	2	4	6	1	0	4
5444	0	0	1	0	297	1	2	51
5446	33	58	0	0	1	104	0	9
107986822	1	2	0	0	0	6	0	0
5445	824	353	1254	1186	502	3010	1908	398
107986823	0	0	0	0	1	1	0	1
51666	0	0	0	0	0	0	0	0
5166	38	38	18	1	244	122	99	269
107986824	0	0	1	0	0	4	1	1
107986746	0	0	0	0	0	0	0	0
105375409	0	0	0	0	0	0	0	0
1780	5	4	1	19	2	12	64	56
10165	247	421	804	950	290	695	896	228
693176	0	0	0	0	0	0	2	0
105375410	0	0	0	0	1	0	0	1
105375411	0	0	0	0	0	0	0	0
7979	332	580	829	668	2113	1061	1185	425
105375412	0	0	0	0	0	0	0	0
107986825	0	0	0	0	0	0	0	0
105375414	0	0	0	0	0	0	0	0
285987	2	0	0	0	0	2	1	6
1750	14	2	0	0	1	37	4	2
1749	0	1	12	1	5	0	5	15
57001	166	228	346	249	87	389	209	129
107984034	3	7	6	6	0	4	0	0
105375417	0	0	0	0	2	1	0	2
107986826	0	0	0	0	0	0	0	0
105375416	0	0	0	0	0	0	0	0
6863	0	0	3	0	0	0	0	3
440	466	803	716	917	1924	600	319	108
107986827	463	793	709	866	1949	594	315	126
100847066	0	0	0	0	0	0	0	0
100847017	0	0	2	1	0	1	1	0
389538	59	155	111	182	381	129	118	48
4951	0	0	1	0	1	0	0	0
22853	230	247	517	1037	140	1592	890	299
168620	7	39	95	126	2	17	19	48
25851	66	141	784	696	810	404	565	609
25798	918	1701	1407	1843	1741	1920	1749	1202
55971	328	525	2211	2072	640	1865	789	1048
4885	14	18	65	50	5	80	0	20
105375419	0	0	0	0	0	0	0	0
105375418	0	0	0	0	0	0	0	0
222865	1	2	0	0	0	13	0	46
8295	241	437	3943	2249	289	2557	3412	511
100500819	0	0	0	0	0	0	0	0
106633801	0	0	1	0	8	3	0	0
101927550	14	24	192	109	49	107	97	61
57154	258	426	769	757	513	1242	1327	381
402569	1	2	1	6	9	2	10	8
84176	0	0	1	2	12	5	11	0
105375421	0	2	4	6	13	12	15	5
10552	1214	1693	3091	2080	2868	2695	3994	689
10095	1386	1556	279	1257	1658	3794	4611	341
11333	641	1153	2492	1857	2848	2026	2073	661
8896	280	445	672	490	1404	549	518	228
113219453	10	7	10	8	6	14	18	2
100526740	216	323	839	766	2192	627	588	315
26024	118	198	553	449	1140	407	321	185
10898	194	525	965	486	2050	795	697	345
9551	525	801	1531	1665	10671	1244	1373	818
100189190	0	0	0	0	0	0	0	0
285989	33	44	315	222	1443	332	329	673
84124	57	124	222	213	355	207	223	213
23660	117	176	538	328	265	504	585	118
221786	86	81	99	78	84	165	209	99
105375422	0	0	0	0	0	0	0	1
79027	207	364	1	3	5	736	14	407
100289187	70	49	1	2	2	383	6	258
221785	50	120	354	295	119	289	385	210
1577	4	5	23	396	19	54	104	826
100861540	0	0	1	2	0	3	7	2
1551	0	0	2	4	0	3	7	3
1576	0	0	2	7	0	2	1	21
64816	0	0	0	10	1	0	0	21
81392	0	0	1	2	0	1	4	1
89122	265	265	175	796	230	665	489	249
101927610	2	4	14	27	69	25	15	43
349149	1	1	0	10	5	3	2	30
563	0	0	41	896	1178	13	15	13922
646282	0	0	1	23	3	0	0	71
105375423	0	0	0	0	0	0	0	3
7586	216	196	2550	3211	2774	1544	3031	2046
7589	31	95	186	88	79	139	119	92
7551	105	206	1002	753	640	481	638	298
10980	849	1431	1892	1407	2589	1741	1612	685
4176	999	2537	7044	2374	8979	2837	2361	450
407014	0	0	31	4	31	17	7	10
407050	0	0	3	0	4	2	1	0
406900	0	0	3	4	5	1	1	2
9179	133	239	973	378	1147	546	480	297
6878	357	669	1819	774	808	1504	1086	334
245812	20	37	160	42	146	163	242	74
255374	10	16	20	47	91	31	27	28
389541	175	289	856	476	4534	502	453	494
55262	76	247	482	631	430	330	372	286
100616439	3	4	17	15	5	13	9	6
79690	6	4	108	9	60	30	33	32
221914	5	14	572	78	168	69	89	11
10734	23	19	109	66	101	169	55	67
352954	95	52	339	292	497	696	219	285
79037	4	13	136	82	5	124	86	86
107986828	4	1	12	12	12	14	10	9
105375427	0	0	0	4	1	0	1	1
105375426	0	0	2	1	5	2	1	2
441272	26	70	183	69	105	175	98	46
5379	85	174	235	127	141	230	137	65
101752399	16	74	1259	514	570	580	583	842
101735302	5	12	68	36	14	44	38	35
101752334	2	15	304	121	18	133	135	195
102466747	1	1	11	5	2	13	9	5
29990	7	29	410	160	535	177	219	336
29992	2	5	80	17	33	19	23	66
55063	39	45	206	164	97	117	102	101
56257	332	554	1730	1081	1924	941	586	360
221908	186	426	330	255	1573	558	269	108
101927632	50	125	92	89	427	178	94	45
402573	0	5	11	2	34	7	21	11
81628	174	339	791	856	1053	615	986	731
222950	2	3	6	3	2	57	13	19
107986829	0	0	0	0	0	1	0	0
3268	34	72	409	420	532	187	176	290
100316904	1	1	110	39	787	29	17	210
4034	66	99	1140	689	541	398	386	599
101927655	9	18	204	110	399	65	79	159
26261	5	6	65	11	30	21	20	19
100129845	4	3	13	5	11	8	22	22
5118	21	42	50	21	164	134	154	317
64598	178	223	578	294	657	439	270	161
7036	12	46	92	25	386	70	8	4
51412	0	0	0	0	471	2	2	0
105375429	0	0	0	0	3	1	0	0
2783	1021	1425	4660	4371	7978	2949	3752	2435
64599	58	220	2069	924	2389	1636	1493	1185
10248	253	733	526	447	514	478	414	103
2056	0	1	0	0	16	3	1	4
7455	0	0	0	0	0	0	0	0
2050	324	417	3648	754	1020	1813	2429	587
56996	99	161	897	517	1041	450	755	398
105375430	0	3	0	3	6	10	2	0
107986830	0	1	9	3	12	3	0	0
7205	420	1140	69	35	580	1052	651	423
102466755	0	0	0	0	0	0	1	0
51593	255	292	3108	1661	2513	1886	1818	1101
402682	9	17	35	122	87	18	14	12
43	3	32	21	330	307	24	5	74
105375431	7	9	7	15	2	20	1	76
4584	46	61	37	76	8	110	3	204
10071	0	3	0	17	3	21	2	34
102724094	7	3	0	4	0	14	1	3
140453	0	0	0	2	0	1	0	1
81844	176	155	161	1391	2711	1737	2234	1478
5054	2	8	8	7	24	22	1529	63
1174	732	753	1129	3003	2979	1523	1917	377
100616117	1	2	12	1	1	13	7	4
7425	15	66	32	84	14453	54	51	11
375607	11	22	2	3	173	13	9	0
346606	0	0	0	2	1	0	0	0
8985	303	697	1289	890	2423	1488	1299	344
10467	378	459	830	623	2723	643	778	471
24146	17	59	241	211	402	155	197	101
51024	456	593	794	894	3724	770	446	546
101927721	0	0	0	2	0	0	0	0
101927746	17	54	17	170	33	69	66	9
64792	162	317	333	473	528	450	476	235
136227	0	1	5	123	8	12	4	142
105379743	0	0	0	0	0	0	0	0
100506527	0	0	0	0	0	0	0	4
107986832	0	0	0	0	0	0	0	0
93408	0	0	0	0	0	0	9	0
1523	249	399	2347	1453	1479	2892	4377	967
10603	27	54	114	87	282	87	238	42
100422858	0	0	0	0	0	1	1	0
107986717	0	2	12	5	17	6	4	6
729597	2	5	213	65	118	156	86	54
100630923	51	124	199	151	335	253	256	170
100289561	12	34	46	45	12	60	79	40
79706	40	98	168	124	333	224	209	151
100313829	0	0	0	0	0	0	2	0
105375433	0	0	6	1	4	1	6	5
80228	98	182	459	333	646	381	1125	152
54784	71	117	306	165	330	247	220	82
222229	72	140	563	178	295	366	610	118
100847073	1	2	5	2	1	5	5	0
100616367	0	0	1	1	0	1	2	0
5439	196	368	626	399	1431	499	533	273
100271927	37	62	45	33	981	254	232	321
548644	111	188	366	228	745	439	380	367
107983993	51	81	245	114	730	310	230	353
441273	7	7	391	114	550	267	166	114
10156	35	63	49	35	986	272	248	338
246721	103	172	352	206	1046	438	348	410
100134938	54	82	202	108	928	291	207	341
100310812	8	10	521	154	527	361	186	164
100133005	26	36	33	21	816	168	166	192
222234	19	40	149	115	56	104	69	44
222235	14	22	33	33	14	52	56	19
10234	0	1	4	3	5	2	5	47
58160	1	1	0	1	0	10	0	0
83787	295	384	847	568	268	544	602	207
222236	143	112	392	446	282	630	687	370
100129424	109	226	313	277	302	332	180	131
105375434	5	6	13	21	57	50	25	20
349152	31	42	13	5	14	207	114	32
9512	711	1071	1540	1657	1057	2309	1252	627
27000	137	204	965	632	1706	955	681	322
5701	717	1056	1419	1550	851	1782	1738	551
375611	21	21	37	49	120	99	66	227
101927870	0	0	3	0	9	0	22	38
5649	0	2	4	69	391	1	754	96
105375435	0	0	0	1	1	0	3	0
5001	157	330	456	930	298	442	558	271
375612	0	0	0	0	0	0	1	6
105375436	0	0	0	0	0	1	0	0
645591	0	0	0	0	0	0	0	0
723809	1	0	0	0	1	0	1	1
55904	233	267	2432	1398	3020	1806	1642	1480
100216546	12	15	232	77	589	261	194	462
100216545	13	17	77	89	125	79	65	90
6733	394	567	2233	1405	1242	1661	1263	628
54517	139	244	1205	672	253	743	608	114
60561	216	249	754	459	144	544	728	175
100130771	30	44	146	78	79	96	130	48
222255	36	44	435	164	244	245	242	237
222256	8	5	63	5	2	23	56	26
107986833	0	0	0	0	1	0	1	2
6856	1229	979	2938	2141	355	2783	2781	1142
10135	5824	3740	1357	2377	290	12473	2698	936
102724339	0	0	0	0	1	3	2	1
105375440	0	0	0	0	0	0	0	0
168455	383	553	180	154	147	924	592	122
5294	0	0	0	0	0	0	1	18
5577	235	159	643	328	97	616	39	163
105375441	0	0	0	0	1	0	0	0
26959	232	182	1159	742	406	735	870	502
10466	435	508	1207	765	479	1220	1234	747
2845	1	0	1	2	12	1	1	4
11062	125	163	133	117	92	224	166	48
115253422	281	223	591	847	214	765	938	312
55973	220	148	469	764	194	575	787	240
105375443	0	0	23	2	6	11	5	1
286002	0	3	5	70	4	4	1	28
5172	0	2	9	16	7	7	7	60
101927974	10	18	13	38	29	43	21	20
79872	327	413	858	825	254	777	732	395
1811	0	0	1	10	5	1	0	31
105375444	0	0	0	0	0	0	0	3
105375445	0	0	0	0	0	0	0	0
1738	594	612	2001	3810	705	1592	1818	435
3912	124	270	846	160	151	1177	5213	502
22798	1	0	1	0	0	0	1	1
107986834	0	0	0	0	0	0	0	0
107986835	0	0	0	0	0	0	0	0
105375446	0	0	0	0	0	0	0	0
4897	0	0	46	5	27	9	1	37
102724363	0	0	0	0	0	0	0	0
50640	337	255	880	854	235	786	682	337
168451	227	156	1043	722	472	705	539	213
4189	132	148	1159	400	161	246	424	452
105375448	0	0	0	0	0	0	0	0
107986836	0	0	2	0	0	0	0	0
154907	0	0	0	0	0	0	0	0
112268010	0	0	0	0	0	0	0	0
442720	11	15	9	23	11	10	25	4
105375451	0	0	1	4	0	0	0	0
105375450	0	0	1	0	0	0	0	0
105375452	0	0	1	0	0	0	0	0
83943	60	92	176	273	238	95	280	173
54674	0	0	41	6	1	0	3	32
9732	151	251	212	272	34	696	1445	225
100506413	0	0	1	0	0	1	8	0
11179	246	227	308	288	121	405	385	135
105375456	0	0	1	0	1	0	0	0
3475	345	616	1495	1008	1017	1034	1176	532
105375457	1	0	1	7	2	14	6	4
286006	5	6	155	43	16	93	25	44
100996249	0	0	0	0	1	0	1	1
101928012	0	0	0	2	2	0	0	1
64418	213	145	1724	832	507	615	618	591
154743	192	179	211	226	85	312	426	131
101928036	0	0	0	0	0	0	0	0
54329	3	1	4	2	36	6	3	6
107986837	0	0	1	0	3	4	1	0
401397	418	324	543	713	265	656	554	251
5506	0	0	0	0	0	0	0	10
93986	1	5	100	1	108	5	5	82
100500896	0	0	0	0	0	0	0	0
29969	319	204	628	3	137	685	754	233
102724386	5	3	4	0	6	11	2	0
104355291	0	0	0	0	0	0	0	0
109623459	0	0	0	0	0	0	0	0
100506489	0	0	0	0	0	0	0	0
105375461	0	0	0	0	0	0	0	0
105375462	0	0	0	0	0	0	0	0
102724407	0	0	0	0	0	0	0	0
22797	0	1	0	1	0	0	4	8
26136	557	900	1198	570	1028	1581	1815	504
102724434	1	3	0	0	0	1	2	0
105375463	1	1	0	0	0	4	2	2
107986838	16	20	0	1	0	62	18	4
107986839	0	1	0	0	0	1	2	0
858	1053	961	9	15	20	2918	1044	297
857	2428	1782	17	11	45	5544	5883	995
100996266	1	2	0	0	0	0	3	0
4233	2070	2742	20	45	66	6002	6914	128
830	777	364	1295	1677	692	1707	1440	656
105375465	0	0	0	0	1	0	0	1
93653	10	10	33	24	12	32	25	12
7982	130	156	406	371	489	363	215	184
338069	0	1	4	6	2	8	7	4
102466616	0	0	0	0	0	0	0	1
93654	6	8	17	15	3	9	8	3
93655	9	19	43	32	19	31	20	13
105375466	0	0	0	0	0	0	0	0
7472	0	0	0	0	17	0	0	29
105375467	0	0	0	0	0	0	0	0
136991	0	0	0	1	3	0	0	0
105375468	0	0	0	0	0	0	0	0
1080	0	0	4	1	0	0	0	12
111082987	0	0	0	0	0	0	0	0
83992	0	0	848	13	9	1	130	51
105375469	0	0	29	0	1	0	6	3
105375470	0	0	0	0	32	0	1	2
51691	136	232	1022	386	1106	560	679	339
56311	2	4	0	0	0	4	2	1
102724495	0	0	0	0	0	0	0	0
105375471	0	0	0	0	0	0	0	0
105375472	0	0	0	0	0	2	0	3
107986747	0	0	0	0	0	0	0	1
105375473	0	0	0	0	0	0	0	0
105375475	0	0	0	0	0	0	0	0
107986840	0	0	0	0	0	0	0	0
105375477	0	0	0	0	0	0	0	0
3751	0	0	95	27	18	0	7	1
23554	68	71	519	12	13	178	149	112
54556	70	95	260	141	138	163	150	98
79974	6	3	2	1	7	5	104	211
51384	2	2	1	0	4	1	5	4
10447	365	399	759	549	229	1032	2112	251
105375478	0	0	0	0	0	0	0	0
5803	0	0	0	1	17	2	3	13
10157	29	19	55	218	320	170	150	653
102724527	0	0	2	2	15	1	14	10
389549	12	8	13	5	78	48	26	1
154860	15	10	26	7	35	122	59	0
93664	109	92	1008	226	80	329	132	342
105375481	0	0	2	0	0	0	0	2
168433	0	0	4	2	0	0	1	2
378925	0	3	10	2	1	0	0	1
105375482	0	0	0	0	2	0	0	0
50833	0	0	0	0	0	0	0	0
6561	0	0	0	1	0	0	0	0
154865	0	1	7	20	6	4	22	8
4698	377	156	1036	938	1388	825	748	752
142685	0	0	0	0	1	1	3	6
102724555	0	0	0	0	1	0	0	0
442721	0	0	1	0	1	0	3	85
8976	385	335	1374	1125	728	1314	1226	631
23553	0	0	0	0	3	0	1	0
26062	0	0	0	0	0	0	0	0
6677	0	0	0	0	0	1	0	0
105375483	0	0	0	0	0	0	0	0
730130	0	0	0	0	1	0	0	2
105375484	0	0	0	0	0	0	1	0
107986841	0	0	0	0	0	0	0	0
101928211	0	0	0	0	0	0	0	0
102724577	0	0	0	0	0	0	0	0
107986842	0	0	0	0	0	0	0	0
2861	47	46	397	54	56	116	641	15
154872	0	0	0	0	0	0	0	0
25913	366	371	626	737	277	733	582	170
401398	0	1	3	5	3	5	2	4
105375486	0	0	0	0	0	0	0	1
101928283	0	0	0	0	0	0	0	0
101928254	0	0	0	0	0	0	0	0
100506664	0	0	0	0	0	0	0	0
105375487	0	0	0	0	0	0	0	0
105375488	0	0	0	0	0	0	0	0
2918	0	0	0	1	39	0	2	4
101928357	0	0	0	0	0	0	1	1
107986843	0	0	0	0	0	0	0	0
693177	0	0	0	0	0	0	0	0
101928333	0	0	0	0	2	0	0	0
168850	220	237	977	797	259	950	890	311
100506682	0	1	0	0	5	0	0	1
105375490	0	1	0	0	1	0	0	0
79571	122	269	599	584	411	464	514	153
381	538	752	2400	1292	3901	1150	942	661
105375489	58	77	335	184	997	158	150	116
29999	0	0	1	0	0	0	1	2
5078	0	0	0	0	0	0	0	0
27044	1133	1720	5245	3655	2476	3455	4858	1710
105375492	0	3	7	0	3	2	3	1
27099	2	1	12	2	17	7	14	27
64101	1	0	3	4	1	11	6	22
693178	0	0	1	0	0	1	2	0
105375493	0	0	0	0	0	0	0	0
406917	0	0	0	0	0	0	0	0
105375494	0	0	0	0	0	0	0	0
3952	0	0	1	0	0	0	0	3
55131	152	130	1131	642	601	1219	1067	367
401399	8	28	14	6	60	42	3	4
107986845	6	12	76	22	107	25	34	19
3614	420	794	3689	1210	1700	1415	1620	719
102724660	1	4	197	75	143	135	220	31
29923	137	258	619	315	469	367	596	73
55798	132	270	675	403	160	480	529	124
101928451	10	25	307	253	36	325	394	182
402483	23	31	953	649	508	895	903	1066
346653	0	0	35	29	34	37	18	97
84691	0	0	0	5	1	1	0	2
813	2166	1920	7562	3058	1123	7456	10542	1525
611	6	5	37	4	2	23	31	6
100189276	0	0	0	0	0	0	0	0
64753	13	13	199	210	176	187	346	263
107986846	0	0	0	0	3	1	0	1
2318	886	1788	23	37	111	8014	6499	1942
110806300	14	20	1	4	1	81	72	18
9296	384	861	910	1666	2608	766	884	402
100130705	0	3	39	62	66	14	43	17
375616	2	3	4	67	29	10	12	7
105375497	2	0	0	2	1	13	6	0
3663	62	94	107	188	133	126	47	43
23534	555	278	1761	1628	918	2048	2103	463
286016	112	85	136	203	71	220	191	28
407835	42	72	112	97	213	162	112	63
340348	176	297	396	384	108	470	159	113
6608	113	138	359	149	7	561	403	393
23382	210	239	566	520	148	748	530	322
105375500	0	0	3	1	2	2	1	1
107986847	2	0	8	0	13	5	6	5
57464	240	243	206	240	45	1982	541	35
100287482	12	37	88	156	65	41	49	2
107986848	0	0	0	0	0	1	0	0
4899	94	131	471	240	566	308	329	185
105375501	0	0	1	0	4	0	3	0
406958	0	0	0	0	0	0	0	0
407053	0	0	0	0	0	0	0	0
406959	0	0	0	0	0	0	0	0
7328	1557	2135	2197	3556	1214	5256	2891	1271
51530	242	480	417	252	363	635	399	122
23008	345	592	1206	937	555	1222	1472	501
100128325	0	0	2	0	0	0	0	0
84928	462	716	885	624	423	1288	888	179
136263	0	0	0	0	0	0	1	0
1358	0	1	0	0	0	0	0	0
51200	17	19	2	0	1	86	160	0
105375503	0	0	0	0	0	0	7	0
93979	0	0	0	3	0	0	0	1
105375504	0	0	0	0	0	1	0	0
1357	0	0	0	0	0	0	0	2
95681	103	140	18	310	125	313	606	87
105375505	0	0	0	0	0	0	0	0
4232	619	1335	396	243	730	1470	332	157
317751	0	1	5	3	8	12	2	2
442904	0	0	0	0	0	0	0	0
26958	377	447	545	787	331	1022	547	229
53844	1	2	50	3	53	42	9	54
114960	0	1	0	3	1	1	3	0
136259	2	2	0	0	0	6	0	0
105375508	1	0	0	0	0	2	0	0
105375509	0	0	0	0	0	1	0	0
407021	0	0	0	0	0	0	1	0
407024	0	0	0	0	0	0	0	0
378805	28	34	2	64	14	219	251	186
100506860	3	30	0	1	2	10	24	2
4289	607	485	1740	1682	535	2259	1695	1115
100506881	28	38	25	73	5	90	42	21
5420	47	79	1218	932	86	472	3523	303
107986849	0	0	0	0	0	0	0	0
101928782	0	0	0	0	0	0	0	0
